time,latitude,longitude,depth,mag,magType,place
2022-07-27T00:43:26.871Z,17.5207,120.8181,33.729,7,mww,"11 km NE of Bantay, Philippines"
2023-11-17T08:14:10.513Z,5.5627,125.0013,52,6.7,mww,"32 km SW of Kablalan, Philippines"
2021-07-23T20:48:57.357Z,13.7047,120.7259,110,6.7,mww,"15 km S of Hukay, Philippines"
2023-10-04T11:21:47.730Z,5.3171,126.0438,113,6.4,mww,"65 km E of Sarangani, Philippines"
2022-10-25T14:59:00.085Z,17.6609,120.8147,6,6.4,mww,"11 km E of Dolores, Philippines"
2022-03-13T21:05:49.469Z,14.096,119.3811,11,6.4,mww,"75 km WNW of Cabra, Philippines"
2020-12-24T23:43:41.964Z,13.82,120.6539,109,6.3,mww,"2 km ESE of Calatagan, Philippines"
2023-09-12T11:03:17.243Z,19.2355,121.2293,31.11,6.2,mww,"69 km N of Namuac, Philippines"
2023-06-15T02:19:23.272Z,13.7629,120.7203,112,6.2,mww,"Mindoro, Philippines"
2023-04-04T12:54:31.503Z,13.7318,125.5376,10,6.2,mww,"124 km E of Gigmoto, Philippines"
2023-02-15T18:10:08.107Z,12.3099,123.8605,8,6.1,mww,"9 km NNE of Miaga, Philippines"
2022-05-21T21:50:48.047Z,14.0187,120.6494,129,6.1,mww,"1 km S of Lian, Philippines"
2020-12-15T23:21:57.807Z,5.1789,125.4212,14,6.1,mww,"25 km S of Sarangani, Philippines"
2023-02-01T10:44:46.067Z,7.7431,126.0566,19,6,mww,"1 km NW of Babag, Philippines"
2022-06-30T18:40:36.938Z,19.0236,121.3363,30,6,mww,"49 km NNE of Namuac, Philippines"
2021-02-07T04:22:56.667Z,6.7693,125.1011,16,6,mww,"9 km W of Magsaysay, Philippines"
2020-11-15T22:37:43.690Z,8.7572,126.2914,43,6,mww,"5 km S of Marihatag, Philippines"
2023-10-19T18:58:51.126Z,7.4623,126.3516,8.494,5.9,mww,"18 km WSW of Batiano, Philippines"
2023-03-07T06:02:31.481Z,7.4941,126.0567,16.051,5.9,mww,"6 km SE of Manat, Philippines"
2021-08-13T15:08:31.218Z,13.7016,120.7817,121,5.9,mww,"10 km WNW of Tingloy, Philippines"
2022-12-09T06:32:59.635Z,13.1588,125.8253,9,5.8,mww,"96 km NE of Cabatuan, Philippines"
2022-08-13T06:25:32.230Z,6.9062,123.792,19.913,5.8,mww,"Moro Gulf, Mindanao, Philippines"
2021-07-23T20:57:18.713Z,13.7977,120.7434,120.58,5.8,mww,"6 km SE of Hukay, Philippines"
2021-05-12T01:09:27.067Z,13.5716,120.8478,113,5.8,mww,"10 km SSW of Tingloy, Philippines"
2023-11-02T06:50:25.384Z,11.4081,125.875,13,5.7,mww,"29 km ENE of Hernani, Philippines"
2023-10-04T03:35:10.800Z,19.2007,121.2365,27,5.7,mww,"Babuyan Islands region, Philippines"
2021-09-26T17:12:05.243Z,13.8941,120.5097,83,5.7,mww,"12 km W of Talisay, Philippines"
2021-06-14T14:38:41.447Z,7.7102,124.967,5.86,5.7,mww,"5 km NW of Don Carlos, Philippines"
2023-03-22T23:31:53.445Z,19.2125,121.188,17,5.6,mww,"66 km N of Namuac, Philippines"
2023-03-07T08:47:41.810Z,7.6315,126.2526,10,5.6,mww,"13 km ENE of Bantacan, Philippines"
2022-12-09T20:01:56.492Z,6.4472,126.1762,72.166,5.6,mww,"6 km ESE of Nangan, Philippines"
2021-08-27T10:22:26.052Z,5.671,125.0293,54.5,5.6,mww,"20 km S of Malbang, Philippines"
2023-06-17T10:15:20.647Z,19.1623,121.2038,36.349,5.5,mww,"61 km N of Namuac, Philippines"
2022-10-19T08:05:40.546Z,6.7327,125.1351,34,5.5,mww,"6 km SW of Magsaysay, Philippines"
2022-08-02T05:24:27.762Z,6.8333,123.7663,20,5.5,mww,"28 km W of Gadung, Philippines"
2022-06-02T18:54:31.063Z,9.0182,126.5097,38.76,5.5,mww,"26 km ENE of Bacolod, Philippines"
2022-02-13T04:36:17.787Z,19.1297,121.173,28.22,5.5,mww,"57 km N of Namuac, Philippines"
2021-12-13T09:12:33.433Z,13.6205,120.7577,133.39,5.5,mww,"Mindoro, Philippines"
2023-08-13T01:43:10.527Z,20.4838,121.5736,50.086,5.4,mww,"41 km W of Basco, Philippines"
2023-08-01T08:03:19.853Z,19.256,121.2607,32.206,5.4,mww,"72 km N of Namuac, Philippines"
2023-07-17T15:35:24.450Z,5.7772,124.0668,9,5.4,mww,"49 km SW of Malisbeng, Philippines"
2023-05-04T00:49:04.476Z,17.4696,122.3465,19,5.4,mww,"Luzon, Philippines"
2023-03-05T20:43:02.682Z,7.5373,126.1657,10,5.4,mww,"10 km SSE of Bantacan, Philippines"
2023-01-27T20:25:27.079Z,10.69,125.4524,71,5.4,mww,"Leyte, Philippines"
2022-08-15T08:23:06.941Z,6.616,125.0631,18.273,5.4,mww,"10 km E of Telafas, Philippines"
2021-10-02T21:59:26.680Z,12.8716,120.9142,8.72,5.4,mww,"11 km NE of Tuban, Philippines"
2020-12-25T10:04:34.286Z,13.2955,122.3301,10,5.4,mww,"20 km W of Silongin, Philippines"
2020-10-16T20:06:27.481Z,13.6785,120.2608,62.32,5.4,mww,"4 km SSE of Looc, Philippines"
2020-12-07T14:37:24.035Z,12.9771,124.5106,68.9,5.4,mww,"36 km NNE of Biri, Philippines"
2023-08-09T00:57:18.049Z,6.5014,126.3305,62.03,5.3,mww,"22 km NE of Pondaguitan, Philippines"
2023-04-23T16:23:18.663Z,14.2645,118.9138,10,5.3,mww,"129 km WNW of Cabra, Philippines"
2023-04-23T09:19:20.832Z,17.52,122.3026,36.524,5.3,mww,"48 km ESE of Lapi, Philippines"
2022-10-24T02:06:42.416Z,7.0424,125.4231,252.131,5.3,mww,"Mindanao, Philippines"
2022-03-20T16:39:20.917Z,10.9423,124.8614,10,5.3,mww,"Leyte, Philippines"
2022-02-21T07:22:18.887Z,13.6021,120.8739,139.31,5.3,mww,"6 km S of Tingloy, Philippines"
2022-01-30T00:17:12.896Z,15.6262,118.237,10,5.3,mww,"167 km WSW of Ilioilio, Philippines"
2022-01-21T20:43:45.453Z,7.5552,126.5369,107.13,5.3,mww,"3 km SW of Baganga, Philippines"
2021-10-07T18:14:54.009Z,13.9389,120.6866,160.14,5.3,mww,"2 km E of Bungahan, Philippines"
2021-06-14T14:49:54.793Z,7.5814,124.9042,10,5.3,mww,"2 km SSW of Kadingilan, Philippines"
