mainshock_name,mainshock_time,mainshock_magnitude,aftershock_time,aftershock_magnitude,aftershock_place,aftershock_latitude,aftershock_longitude
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-18 15:43:31.175,4.9,"167 km NW of Tobelo, Indonesia",2.9276,127.0925
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-19 02:24:56.968,4.2,"156 km NNW of Tobelo, Indonesia",2.9459,127.2927
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-19 11:54:29.352,4.5,"197 km NW of Tobelo, Indonesia",2.8996,126.6652
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-19 13:00:21.304,4.8,"171 km NW of Tobelo, Indonesia",2.9462,127.0475
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-20 10:40:14.498,4.7,"175 km NW of Tobelo, Indonesia",3.0079,127.0761
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-20 14:29:46.068,4.0,Molucca Sea,2.9926,126.9301
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-21 15:02:26.712,4.4,"200 km NW of Tobelo, Indonesia",3.0934,126.8245
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-22 18:21:01.698,4.5,"161 km NW of Tobelo, Indonesia",2.8623,127.0919
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-23 03:43:21.807,4.4,"161 km NNW of Tobelo, Indonesia",3.0671,127.4254
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-23 14:01:53.556,4.7,"Pulau-Pulau Talaud, Indonesia",3.0151,127.0689
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-23 14:09:00.252,4.5,"175 km NW of Tobelo, Indonesia",2.9525,127.0088
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-23 14:40:03.394,4.1,"172 km NNW of Tobelo, Indonesia",3.1265,127.3272
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-23 15:15:07.238,4.2,"181 km NW of Tobelo, Indonesia",3.0014,126.9769
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 02:30:04.675,5.4,"165 km NW of Tobelo, Indonesia",2.9043,127.088
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 02:38:32.603,4.5,"152 km NNW of Tobelo, Indonesia",2.8856,127.2573
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 02:53:31.094,4.6,Molucca Sea,2.9088,127.1235
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 03:22:15.140,4.4,"153 km NNW of Tobelo, Indonesia",2.9175,127.2949
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 03:38:37.121,4.5,"160 km NW of Tobelo, Indonesia",2.9076,127.1653
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 03:50:52.358,4.3,"158 km NNW of Tobelo, Indonesia",2.9529,127.2743
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 04:49:02.671,4.1,"151 km NW of Tobelo, Indonesia",2.8675,127.2473
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 05:09:18.751,4.3,"155 km NW of Tobelo, Indonesia",2.8713,127.1987
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 13:11:21.947,5.0,"186 km NW of Tobelo, Indonesia",3.0821,127.016
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 19:25:40.914,4.4,"175 km NW of Tobelo, Indonesia",2.9885,127.0439
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 20:12:55.993,4.5,"156 km NNW of Tobelo, Indonesia",2.9423,127.2788
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 20:17:58.699,5.3,"193 km NW of Tobelo, Indonesia",3.1604,127.0141
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-24 21:23:51.649,4.3,"169 km NNW of Tobelo, Indonesia",3.0899,127.3087
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-25 00:44:54.720,4.5,"Pulau-Pulau Talaud, Indonesia",3.115,127.0491
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-25 06:49:33.994,4.3,Molucca Sea,2.8827,127.133
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-25 16:48:08.954,4.4,"Pulau-Pulau Talaud, Indonesia",3.1406,127.0219
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-26 02:51:41.071,4.3,Molucca Sea,2.8807,127.108
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-26 16:26:07.759,4.3,"182 km NW of Tobelo, Indonesia",2.8814,126.8379
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-26 21:22:57.347,4.3,"185 km NW of Tobelo, Indonesia",3.061,126.9892
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-28 00:03:31.879,4.7,"184 km NW of Tobelo, Indonesia",3.0504,126.9979
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-29 01:45:44.856,4.5,"180 km NW of Tobelo, Indonesia",2.9066,126.8881
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-29 15:20:28.798,4.7,"172 km NW of Tobelo, Indonesia",2.9047,126.9938
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-29 16:11:02.225,4.7,"173 km NW of Tobelo, Indonesia",2.8896,126.9662
"Balut Island, Davao Occidental",2023-01-18 14:06:10,7.0,2023-01-29 17:26:32.250,4.3,"163 km NW of Tobelo, Indonesia",2.8623,127.0656
