mainshock_name,mainshock_time,mainshock_magnitude,aftershock_time,aftershock_magnitude,aftershock_place,aftershock_latitude,aftershock_longitude
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 04:12:01.156,4.2,"106 km E of Aras-asan, Philippines",8.7802,127.271
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 04:17:23.815,5.3,"49 km E of Aras-asan, Philippines",8.8321,126.7554
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 04:59:01.651,5.3,"39 km E of Aras-asan, Philippines",8.879,126.666
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 05:08:36.001,5.7,"37 km E of Aras-asan, Philippines",8.8354,126.6446
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 05:51:38.185,4.3,"48 km ESE of Marihatag, Philippines",8.6484,126.7103
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 06:43:48.172,4.6,"26 km E of Marihatag, Philippines",8.7921,126.5415
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 06:59:02.261,4.4,"55 km ENE of Hinatuan, Philippines",8.544,126.812
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 07:10:08.017,4.2,"55 km ENE of Hinatuan, Philippines",8.6243,126.7681
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 07:47:55.927,4.4,"60 km E of Aras-asan, Philippines",8.7874,126.8538
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 10:23:02.727,4.6,"37 km ENE of Aras-asan, Philippines",9.0306,126.6202
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 10:48:43.949,4.4,"56 km ENE of Hinatuan, Philippines",8.5486,126.8142
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 13:00:44.772,4.5,"53 km ENE of Aras-asan, Philippines",9.0514,126.7734
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 13:46:03.913,4.4,"96 km E of Aras-asan, Philippines",8.7181,127.1752
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 14:02:31.838,4.4,"80 km E of Marihatag, Philippines",8.7103,127.0253
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 16:05:09.758,4.3,"48 km ENE of Bacolod, Philippines",9.1341,126.6817
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 16:23:46.001,4.7,"56 km ENE of Hinatuan, Philippines",8.5476,126.8152
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 18:04:10.825,4.2,"98 km ESE of Aras-asan, Philippines",8.7039,127.1912
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 19:33:04.131,4.4,"53 km E of Aras-asan, Philippines",8.8632,126.7976
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 21:53:29.159,4.4,"43 km E of Aras-asan, Philippines",8.8535,126.7038
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 23:20:44.541,4.4,"25 km ENE of Aras-asan, Philippines",8.9829,126.5208
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 23:23:57.674,4.4,"26 km ENE of Aras-asan, Philippines",8.9405,126.548
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-04 23:57:09.449,4.7,"26 km ENE of Aras-asan, Philippines",8.9855,126.5335
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 00:34:29.806,5.2,"27 km ENE of Aras-asan, Philippines",8.9528,126.5493
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 00:49:16.087,4.4,"66 km ENE of Hinatuan, Philippines",8.5905,126.8958
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 00:58:32.744,5.1,"50 km ESE of Marihatag, Philippines",8.7119,126.7423
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 01:01:11.523,4.9,"42 km ESE of Marihatag, Philippines",8.707,126.6713
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 01:06:13.127,4.1,"32 km E of Aras-asan, Philippines",8.9151,126.6056
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 02:06:02.689,4.3,"71 km E of Aras-asan, Philippines",8.8249,126.9575
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 02:41:27.961,4.4,"24 km ENE of Aras-asan, Philippines",8.9697,126.5168
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 03:39:58.980,4.8,"47 km ESE of Marihatag, Philippines",8.6563,126.702
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 03:56:17.577,4.2,"104 km E of Aras-asan, Philippines",8.7833,127.2511
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 04:27:36.054,4.8,"45 km ESE of Marihatag, Philippines",8.6856,126.6875
