mainshock_name,mainshock_time,mainshock_magnitude,aftershock_time,aftershock_magnitude,aftershock_place,aftershock_latitude,aftershock_longitude
"Itbayat, Batanes",2022-03-23 01:41:00,6.7,2022-03-23 01:55:54.184,4.5,"61 km S of Hualien City, Taiwan",23.4209,121.5391
"Itbayat, Batanes",2022-03-23 01:41:00,6.7,2022-03-23 04:25:47.942,4.3,"64 km S of Hualien City, Taiwan",23.4028,121.5019
"Itbayat, Batanes",2022-03-23 01:41:00,6.7,2022-03-23 09:18:58.808,4.5,"73 km S of Hualien City, Taiwan",23.3176,121.4887
"Itbayat, Batanes",2022-03-23 01:41:00,6.7,2022-03-23 20:45:27.969,4.7,"62 km S of Hualien City, Taiwan",23.4167,121.5519
"Itbayat, Batanes",2022-03-23 01:41:00,6.7,2022-03-24 00:38:12.971,4.1,"62 km S of Hualien City, Taiwan",23.4205,121.5257
"Itbayat, Batanes",2022-03-23 01:41:00,6.7,2022-03-27 00:15:02.974,3.8,"66 km SSW of Hualien City, Taiwan",23.3904,121.4739
"Itbayat, Batanes",2022-03-23 01:41:00,6.7,2022-03-28 09:00:26.390,4.3,"94 km E of Yujing, Taiwan",23.0516,121.3773
"Itbayat, Batanes",2022-03-23 01:41:00,6.7,2022-04-07 03:40:59.570,4.6,"99 km S of Hualien City, Taiwan",23.0936,121.4314
"Itbayat, Batanes",2022-03-23 01:41:00,6.7,2022-04-25 21:30:35.515,4.5,"74 km S of Hualien City, Taiwan",23.3057,121.5349
"Itbayat, Batanes",2022-03-23 01:41:00,6.7,2022-05-07 23:23:46.857,4.2,"62 km SSW of Hualien City, Taiwan",23.4258,121.4842
"Itbayat, Batanes",2022-03-23 01:41:00,6.7,2022-06-02 21:09:01.321,4.2,"65 km S of Hualien City, Taiwan",23.3893,121.5485
"Itbayat, Batanes",2022-03-23 01:41:00,6.7,2022-06-18 02:57:31.479,4.1,"83 km SSW of Hualien City, Taiwan",23.2476,121.4154
