mainshock_name,mainshock_time,mainshock_magnitude,aftershock_time,aftershock_magnitude,aftershock_place,aftershock_latitude,aftershock_longitude
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-27 12:17:48.966,4.5,"18 km WNW of Pasil, Philippines",17.4557,120.9767
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-27 13:58:21.213,4.3,"17 km W of Pasil, Philippines",17.3726,120.9698
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-27 19:50:31.969,4.6,"9 km SSE of San Ramon, Philippines",17.3339,120.7368
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-27 22:19:52.255,4.5,"12 km S of San Ramon, Philippines",17.2996,120.7194
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-27 22:41:00.746,4.5,"7 km ENE of Allangigan Primero, Philippines",17.1952,120.5564
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-28 16:36:26.001,4.6,"4 km S of San Ramon, Philippines",17.3759,120.7136
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-28 22:32:02.436,4.1,"3 km SE of Angad, Philippines",17.5644,120.6512
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-29 07:21:55.550,4.4,"18 km NNW of Besao, Philippines",17.2468,120.7959
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-29 07:59:22.191,4.5,"10 km SE of Pinili, Philippines",17.8777,120.5835
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-29 13:38:53.092,4.7,"5 km N of Calaba, Philippines",17.6631,120.621
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-30 04:34:27.423,4.5,"9 km NNW of Bantay, Philippines",17.5108,120.7139
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-31 05:49:59.501,5.0,"0 km NNW of Dolores, Philippines",17.6548,120.7067
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-31 11:27:38.720,4.9,"7 km SE of San Ramon, Philippines",17.3646,120.7626
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-07-31 18:48:10.312,5.1,"13 km S of San Ramon, Philippines",17.292,120.7158
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-08-27 18:27:36.197,5.2,"14 km SSE of San Ramon, Philippines",17.2931,120.7624
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-09-13 04:21:05.050,4.5,"16 km N of Besao, Philippines",17.2445,120.8432
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-10-10 05:27:28.658,4.5,"3 km E of Batac City, Philippines",18.0583,120.5966
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-10-25 14:59:00.085,6.4,"11 km E of Dolores, Philippines",17.6609,120.8147
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-10-25 15:30:01.331,4.3,"4 km SE of Dolores, Philippines",17.6115,120.7362
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-10-25 18:07:13.852,4.5,"20 km ESE of Dolores, Philippines",17.5951,120.8901
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-10-25 19:35:50.814,4.4,"Luzon, Philippines",17.6062,120.6537
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-10-25 21:04:47.351,4.7,"Luzon, Philippines",17.9245,120.7668
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-10-25 21:39:28.123,4.8,"22 km NE of Dolores, Philippines",17.7907,120.8663
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-10-26 01:01:05.468,4.5,"1 km W of Pidigan, Philippines",17.5682,120.5783
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-10-26 04:34:16.956,4.1,"28 km WSW of Conner, Philippines",17.7404,121.0695
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-10-26 09:12:44.497,4.9,"22 km SSE of Padong, Philippines",17.8718,120.8512
"Tayum, Abra",2022-07-27 08:43:24,7.0,2022-10-28 00:42:42.305,4.3,"9 km NW of Tamorong, Philippines",17.3979,120.3759
