mainshock_name,mainshock_time,mainshock_magnitude,aftershock_time,aftershock_magnitude,aftershock_place,aftershock_latitude,aftershock_longitude
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 18:47:53.781,4.5,"45 km NE of Barcelona, Philippines",8.3947,126.7763
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 19:03:14.535,4.7,"36 km NE of Hinatuan, Philippines",8.5798,126.586
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 19:37:24.507,4.0,"57 km ENE of Hinatuan, Philippines",8.5869,126.8123
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 20:03:12.970,4.8,"40 km ENE of Hinatuan, Philippines",8.5581,126.6507
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 20:10:19.177,4.9,"38 km E of Aras-asan, Philippines",8.8346,126.6593
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 21:06:36.173,4.5,"49 km NE of Barcelona, Philippines",8.4456,126.7759
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 21:08:17.245,4.7,"49 km E of Barcelona, Philippines",8.2405,126.8713
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 21:32:12.302,4.2,"62 km ENE of Hinatuan, Philippines",8.5603,126.8658
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 21:35:43.744,4.4,"52 km E of Barcelona, Philippines",8.2052,126.9057
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 21:43:38.401,5.4,"56 km E of Marihatag, Philippines",8.7398,126.8062
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 21:55:57.355,4.4,"97 km E of Aras-asan, Philippines",8.7812,127.1924
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 22:06:22.496,4.5,"53 km ESE of Marihatag, Philippines",8.662,126.7648
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 22:12:37.953,4.4,"69 km ENE of Hinatuan, Philippines",8.5686,126.9342
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 22:20:32.282,4.8,"52 km ENE of Hinatuan, Philippines",8.5619,126.7744
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 22:30:04.554,4.5,"43 km E of Marihatag, Philippines",8.7493,126.6833
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 22:38:51.018,4.5,"76 km ESE of Marihatag, Philippines",8.6492,126.9694
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 22:42:17.814,5.1,"71 km E of Marihatag, Philippines",8.7045,126.9358
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 23:15:12.419,4.3,"19 km ENE of Barcelona, Philippines",8.2419,126.5865
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 23:16:16.451,4.6,"52 km ENE of Barcelona, Philippines",8.3619,126.8616
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-03 23:25:12.213,5.1,"44 km NE of Barcelona, Philippines",8.4018,126.758
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 00:36:08.606,4.4,"32 km ENE of Hinatuan, Philippines",8.4667,126.61
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 00:39:02.759,4.8,"39 km E of Barcelona, Philippines",8.1051,126.7847
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 01:06:40.143,4.5,"34 km ENE of Hinatuan, Philippines",8.5406,126.5985
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 01:07:50.505,5.5,"52 km NE of Barcelona, Philippines",8.4547,126.8072
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 01:17:35.890,4.4,"52 km ENE of Hinatuan, Philippines",8.5144,126.7897
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 01:32:16.569,4.6,"84 km ENE of Barcelona, Philippines",8.3664,127.1768
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 01:51:09.184,4.2,"48 km ENE of Hinatuan, Philippines",8.5839,126.7206
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 02:11:04.909,5.0,"49 km ENE of Hinatuan, Philippines",8.4825,126.7738
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 02:11:57.805,4.8,"39 km ENE of Hinatuan, Philippines",8.5389,126.6466
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 02:38:18.667,5.2,"54 km ENE of Hinatuan, Philippines",8.5649,126.7867
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 02:59:00.438,4.3,"37 km E of Hinatuan, Philippines",8.4247,126.6669
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 03:08:51.639,4.5,"56 km ESE of Marihatag, Philippines",8.6706,126.7952
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 04:12:01.156,4.2,"106 km E of Aras-asan, Philippines",8.7802,127.271
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 04:17:23.815,5.3,"49 km E of Aras-asan, Philippines",8.8321,126.7554
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 04:21:23.420,4.8,"112 km ENE of Barcelona, Philippines",8.6584,127.3283
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 04:32:29.894,4.3,"31 km ESE of Marihatag, Philippines",8.6628,126.5432
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 04:43:49.261,5.1,"56 km ENE of Barcelona, Philippines",8.3955,126.8925
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 05:15:43.916,5.3,"42 km ENE of Barcelona, Philippines",8.3448,126.7748
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 05:45:11.007,4.6,"37 km ENE of Barcelona, Philippines",8.3339,126.7259
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 05:51:38.185,4.3,"48 km ESE of Marihatag, Philippines",8.6484,126.7103
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 06:08:29.488,5.0,"48 km ENE of Hinatuan, Philippines",8.4944,126.7589
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 06:59:02.261,4.4,"55 km ENE of Hinatuan, Philippines",8.544,126.812
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 07:10:08.017,4.2,"55 km ENE of Hinatuan, Philippines",8.6243,126.7681
"Hinatuan, Surigao Del Sur",2023-12-03 18:35:50,6.6,2023-12-04 07:23:58.178,4.2,"22 km ENE of Tidman, Philippines",8.3413,126.5352
