mainshock_name,mainshock_time,mainshock_magnitude,aftershock_time,aftershock_magnitude,aftershock_place,aftershock_latitude,aftershock_longitude
"Sarangani Island, Davao Occidental",2023-11-17 16:14:08,6.8,2023-11-17 21:15:09.207,4.2,"29 km SW of Burias, Philippines",5.5221,125.0746
"Sarangani Island, Davao Occidental",2023-11-17 16:14:08,6.8,2023-11-18 04:18:18.721,4.5,"35 km S of Maasim, Philippines",5.533,124.9855
"Sarangani Island, Davao Occidental",2023-11-17 16:14:08,6.8,2023-11-20 19:28:25.747,5.0,"6 km SW of Burias, Philippines",5.677,125.2156
"Sarangani Island, Davao Occidental",2023-11-17 16:14:08,6.8,2023-11-20 22:20:36.629,4.3,"9 km SE of Kiupo, Philippines",5.7813,125.3774
"Sarangani Island, Davao Occidental",2023-11-17 16:14:08,6.8,2023-11-23 03:24:33.295,4.7,"22 km SW of Burias, Philippines",5.5742,125.1139
"Sarangani Island, Davao Occidental",2023-11-17 16:14:08,6.8,2023-12-07 13:09:46.026,4.8,"6 km NE of Pangyan, Philippines",5.7478,125.3216
"Sarangani Island, Davao Occidental",2023-11-17 16:14:08,6.8,2024-01-03 12:59:19.567,4.4,"26 km SW of Burias, Philippines",5.5484,125.0908
"Sarangani Island, Davao Occidental",2023-11-17 16:14:08,6.8,2024-01-09 11:14:27.650,4.1,"32 km SSW of Sarangani, Philippines",5.1326,125.3566
"Sarangani Island, Davao Occidental",2023-11-17 16:14:08,6.8,2024-01-12 19:52:14.391,4.6,"26 km WSW of Balangonan, Philippines",5.5013,125.1256
"Sarangani Island, Davao Occidental",2023-11-17 16:14:08,6.8,2024-01-22 12:02:20.287,4.6,"14 km SW of Sarangani, Philippines",5.3214,125.3615
"Sarangani Island, Davao Occidental",2023-11-17 16:14:08,6.8,2024-01-27 18:45:25.411,4.5,"36 km SSE of Sarangani, Philippines",5.0869,125.5611
"Sarangani Island, Davao Occidental",2023-11-17 16:14:08,6.8,2024-02-13 00:34:07.134,4.9,"35 km SSW of Sarangani, Philippines",5.0873,125.3865
