time,latitude,longitude,depth,mag,magType,place
2010-07-23T22:51:11.840Z,6.497,123.48,578,7.6,mwc,"61 km W of Bantogon, Philippines"
2002-03-05T21:16:09.130Z,6.033,124.249,31,7.5,mwc,"Mindanao, Philippines"
2001-01-01T06:57:04.170Z,6.898,126.579,33,7.5,mwc,"21 km SE of Lukatan, Philippines"
2010-07-23T23:15:10.190Z,6.776,123.259,640.6,7.5,mwc,"72 km S of Panubigan, Philippines"
1999-12-11T18:03:36.450Z,15.766,119.74,33,7.3,mwc,"14 km WNW of Bolitoc, Philippines"
2010-07-23T22:08:11.250Z,6.718,123.409,607.1,7.3,mwc,"68 km W of Gadung, Philippines"
1995-04-21T00:34:46.090Z,12.059,125.58,20.7,7.2,mw,"10 km E of Dapdap, Philippines"
1994-11-14T19:15:30.660Z,13.525,121.067,31.5,7.1,mw,"10 km E of Sabang, Philippines"
1999-03-04T08:52:01.900Z,5.397,121.937,33,7.1,mwc,"69 km S of Tabiauan, Philippines"
1996-06-11T18:22:55.730Z,12.614,125.154,33,7.1,mwc,"8 km NNE of Palapag, Philippines"
1995-05-05T03:53:45.050Z,12.626,125.297,16,7.1,mw,"14 km NE of Cabatuan, Philippines"
2005-02-05T12:23:18.940Z,5.293,123.337,525,7.1,mwc,"138 km SW of Palimbang, Philippines"
2013-10-15T00:12:32.050Z,9.8796,124.1167,19.04,7.1,mww,"4 km SE of Sagbayan, Philippines"
2022-07-27T00:43:26.871Z,17.5207,120.8181,33.729,7,mww,"11 km NE of Bantay, Philippines"
1993-05-11T18:26:51.320Z,7.219,126.57,58.7,7,mwb,"3 km E of Manay, Philippines"
1991-02-18T02:37:25.120Z,8.87,126.48,23.9,7,mw,"18 km E of Aras-asan, Philippines"
2017-04-28T20:23:17.260Z,5.5043,125.0658,26,6.9,mww,"31 km SW of Burias, Philippines"
1995-04-21T00:09:54.360Z,12.011,125.656,20.1,6.9,mw,"19 km E of Dolores, Philippines"
2003-05-26T23:13:29.720Z,6.761,123.707,565.8,6.9,mwc,"34 km W of Gadung, Philippines"
2008-03-03T14:11:14.620Z,13.351,125.63,24,6.9,mwc,Philippine Islands region
1995-04-21T05:17:01.330Z,12.047,125.92,27.4,6.8,mw,"47 km E of Dapdap, Philippines"
1995-04-23T05:08:01.970Z,12.39,125.396,24.1,6.8,mw,"10 km E of Gamay, Philippines"
1995-04-21T00:30:10.820Z,11.925,125.564,17.4,6.8,mw,"14 km ESE of Can-Avid, Philippines"
1993-05-18T10:19:33.780Z,19.914,122.45,168.6,6.8,mwb,"77 km SE of Basco, Philippines"
1991-11-13T11:12:13.240Z,8.361,126.371,35.9,6.8,mwb,"4 km ESE of Hinatuan, Philippines"
2019-12-15T06:11:51.155Z,6.6969,125.1739,18,6.8,mww,"7 km S of Magsaysay, Philippines"
2023-11-17T08:14:10.513Z,5.5627,125.0013,52,6.7,mww,"32 km SW of Kablalan, Philippines"
2021-07-23T20:48:57.357Z,13.7047,120.7259,110,6.7,mww,"15 km S of Hukay, Philippines"
2012-02-06T03:49:12.520Z,9.999,123.206,11,6.7,mww,"2 km NNE of Jimalalud, Philippines"
2010-07-29T07:31:56.240Z,6.548,123.222,618,6.6,mwc,"89 km W of Bantogon, Philippines"
2010-07-24T05:35:01.060Z,6.218,123.519,553,6.6,mwc,"63 km WSW of Sangay, Philippines"
1996-09-20T04:11:04.550Z,9.454,126.334,33,6.6,mwc,"24 km NE of Cortes, Philippines"
1996-09-20T04:10:27.680Z,9.463,126.284,33,6.6,mwc,"22 km NNE of Cortes, Philippines"
2020-08-18T00:03:48.566Z,12.0257,124.1272,10,6.6,mww,"13 km E of San Pedro, Philippines"
2009-10-04T10:58:00.170Z,6.74,123.378,620,6.6,mwc,"71 km W of Gadung, Philippines"
2014-12-02T05:11:31.000Z,6.1572,123.1261,614,6.6,mww,"106 km WSW of Sangay, Philippines"
2019-10-29T01:04:43.879Z,6.7567,125.0082,15,6.6,mww,"10 km NE of Columbio, Philippines"
2017-02-10T14:03:43.920Z,9.9071,125.4516,15,6.5,mww,"11 km N of Mabua, Philippines"
2017-07-06T08:03:57.550Z,11.1269,124.6286,9,6.5,mww,"2 km S of Lim-oo, Philippines"
1997-10-06T12:30:05.820Z,9.79,125.779,105.6,6.5,mwb,"18 km E of Talisay, Philippines"
1990-10-25T11:01:38.720Z,8.307,126.462,44.1,6.5,mw,"13 km E of Tidman, Philippines"
2004-10-08T14:36:06.110Z,13.925,120.534,105,6.5,mwb,"9 km W of Talisay, Philippines"
2003-11-18T17:14:22.620Z,12.025,125.416,35,6.5,mwb,"4 km NW of Can-Avid, Philippines"
2019-10-31T01:11:19.146Z,6.9098,125.1782,10,6.5,mww,"2 km ENE of Bulatukan, Philippines"
2005-02-15T14:42:25.850Z,4.756,126.421,39.7,6.5,mwc,"Pulau-Pulau Talaud, Indonesia"
2023-10-04T11:21:47.730Z,5.3171,126.0438,113,6.4,mww,"65 km E of Sarangani, Philippines"
2022-10-25T14:59:00.085Z,17.6609,120.8147,6,6.4,mww,"11 km E of Dolores, Philippines"
2022-03-13T21:05:49.469Z,14.096,119.3811,11,6.4,mww,"75 km WNW of Cabra, Philippines"
1996-10-02T09:48:01.560Z,11.761,125.484,33,6.4,mwc,"3 km ENE of San Julian, Philippines"
1996-09-20T00:03:18.370Z,9.597,126.293,33,6.4,mwc,"26 km SE of Union, Philippines"
1995-05-08T18:08:06.290Z,11.465,125.962,12,6.4,mw,"40 km ENE of Hernani, Philippines"
1994-10-12T06:43:39.730Z,13.773,124.529,15.7,6.4,mwb,"15 km E of Gigmoto, Philippines"
2000-07-16T03:21:45.530Z,20.253,122.043,33,6.4,mwc,"22 km SSE of Basco, Philippines"
2020-08-01T17:09:01.952Z,7.2932,124.1331,483,6.4,mww,"11 km SW of Polloc, Philippines"
2019-10-16T11:37:06.342Z,6.7147,125.007,16.12,6.4,mww,"7 km ENE of Columbio, Philippines"
2005-11-30T16:53:42.470Z,6.27,124.029,13,6.4,mwc,"18 km WNW of Palimbang, Philippines"
2011-07-11T20:47:04.300Z,9.509,122.175,19,6.4,mww,"33 km WSW of Cayhagan, Philippines"
2019-04-23T05:37:53.147Z,11.7547,125.2013,56,6.4,mww,"17 km ESE of Tutubigan, Philippines"
2020-12-24T23:43:41.964Z,13.82,120.6539,109,6.3,mww,"2 km ESE of Calatagan, Philippines"
2016-09-23T22:53:10.400Z,6.5717,126.4918,65,6.3,mww,"36 km SE of Tamisan, Philippines"
1996-09-28T14:10:42.450Z,10.038,125.369,234.8,6.3,mwc,"22 km E of San Francisco, Philippines"
1992-03-19T06:34:25.860Z,17.155,120.827,15.4,6.3,mwb,"7 km NNW of Besao, Philippines"
2003-02-15T11:01:59.860Z,12.168,124.079,10,6.3,mwc,"11 km SSW of San Vicente, Philippines"
2002-01-01T11:29:22.730Z,6.303,125.65,138.1,6.3,mwc,"3 km S of Lais, Philippines"
2002-12-30T04:49:08.690Z,7.471,123.407,10,6.3,mwc,"0 km NNW of Tabina, Philippines"
2020-09-06T15:23:43.148Z,6.2693,125.8285,120,6.3,mww,"17 km E of Talagutong, Philippines"
2006-10-09T10:01:47.400Z,20.654,120.023,14,6.3,mwc,"167 km SSW of Hengchun, Taiwan"
2014-07-14T07:59:57.290Z,5.7144,126.4776,20,6.3,mww,"78 km SSE of Pondaguitan, Philippines"
2008-06-01T01:57:23.690Z,20.124,121.35,31,6.3,mwc,"74 km WSW of Basco, Philippines"
2008-12-25T03:20:29.350Z,5.752,125.377,206,6.3,mwc,"11 km SSE of Kiupo, Philippines"
2014-05-15T10:16:42.020Z,9.3832,122.0604,15.46,6.3,mww,"51 km WSW of Alim, Philippines"
2023-09-12T11:03:17.243Z,19.2355,121.2293,31.11,6.2,mww,"69 km N of Namuac, Philippines"
2023-06-15T02:19:23.272Z,13.7629,120.7203,112,6.2,mww,"Mindoro, Philippines"
2023-04-04T12:54:31.503Z,13.7318,125.5376,10,6.2,mww,"124 km E of Gigmoto, Philippines"
1994-06-09T16:22:22.090Z,13.259,124.281,75.9,6.2,mw,"18 km ENE of Rapu-Rapu, Philippines"
1992-10-29T07:29:57.640Z,6.834,124.006,33,6.2,mw,"3 km NNW of Gadung, Philippines"
2003-10-09T22:19:13.850Z,13.755,119.939,33,6.2,mwb,"18 km WSW of Tagbak, Philippines"
2000-01-06T21:31:06.220Z,16.095,119.484,33,6.2,mwc,"Luzon, Philippines"
2019-09-29T02:02:51.883Z,5.6756,126.5481,73,6.2,mww,"86 km SSE of Pondaguitan, Philippines"
2018-09-08T07:16:49.620Z,7.2377,126.4779,10,6.2,mww,"7 km WNW of Manay, Philippines"
2017-08-11T05:28:25.790Z,14.0065,120.7391,172,6.2,mww,"1 km SE of Tuy, Philippines"
2008-07-13T14:58:33.010Z,21.014,121.149,14,6.2,mwc,"105 km NW of Basco, Philippines"
2023-02-15T18:10:08.107Z,12.3099,123.8605,8,6.1,mww,"9 km NNE of Miaga, Philippines"
2022-05-21T21:50:48.047Z,14.0187,120.6494,129,6.1,mww,"1 km S of Lian, Philippines"
2020-12-15T23:21:57.807Z,5.1789,125.4212,14,6.1,mww,"25 km S of Sarangani, Philippines"
2009-11-28T18:10:20.630Z,5.326,126.288,38.8,6.1,mwc,"91 km E of Sarangani, Philippines"
1998-08-23T05:36:12.920Z,14.697,120.046,70.1,6.1,mwb,"22 km W of Sabang, Philippines"
1997-05-22T13:21:36.350Z,18.915,121.336,33.9,6.1,mwc,"38 km NNE of Namuac, Philippines"
1996-06-14T15:04:40.740Z,12.811,125.055,28.8,6.1,mwc,"16 km N of Cabodiongan, Philippines"
1996-09-20T12:24:42.120Z,9.446,126.544,33,6.1,mwb,"42 km ENE of Cortes, Philippines"
1996-11-07T06:10:16.710Z,9.785,126.34,33,6.1,mwc,"25 km E of Union, Philippines"
1995-05-05T04:39:10.630Z,12.637,125.238,33,6.1,ms,"12 km N of Cabatuan, Philippines"
1996-07-30T17:38:30.710Z,14.509,119.954,33,6.1,mwb,"38 km WSW of Sabang, Philippines"
